Episode;Titel;Link
S01E01;Fish;https://www.youtube.com/watch?v=FH6ddJdo_HY
S01E02;Bee;https://www.youtube.com/watch?v=3HusjUomMCE
S01E03;Chicken;https://www.youtube.com/watch?v=ceAH9L9f8Js
S01E04;Lion;https://www.youtube.com/watch?v=8B6bsoYMWD8
S01E05;Seal;https://www.youtube.com/watch?v=Rx5DFVx3gt0
S01E06;Fox;https://www.youtube.com/watch?v=xW-DGLkz79Q
S01E07;Monkey;https://www.youtube.com/watch?v=FmQOhBWFVIw
S01E08;Pig;https://www.youtube.com/watch?v=4xg8LyPaDt0
S01E09;Sheep;https://www.youtube.com/watch?v=xzGBfPJcwx4
S01E10;Polar Bear;https://www.youtube.com/watch?v=ef_l-ixgAmI
S01E11;Donkey;https://www.youtube.com/watch?v=THWuoFHLKrw
S01E12;Sloth;https://www.youtube.com/watch?v=8yxevBeRiaE
S01E13;Koala;https://www.youtube.com/watch?v=sVa1_ARanlQ
S01E14;Elephant;https://www.youtube.com/watch?v=j_hCJ3qKGYo
S01E15;Frog;https://www.youtube.com/watch?v=NahArd_dhCY
S01E16;Dog;https://www.youtube.com/watch?v=QLndpCw-pT0
S01E17;Mole;https://www.youtube.com/watch?v=_6I7CLFH0sU
S01E18;Mouse;https://www.youtube.com/watch?v=hNDg6PI4L_0
S01E19;Bear;https://www.youtube.com/watch?v=3tjOi8u7Ysk
S01E20;Beaver;https://www.youtube.com/watch?v=VQ3dYBjq-TM
S01E21;Rhino;https://www.youtube.com/watch?v=ahJn3IjShYM
S01E22;Owl;https://www.youtube.com/watch?v=swEOZkoC9BU
S01E23;Ram;https://www.youtube.com/watch?v=yFLDp2vn8Mg
S01E24;Bird;https://www.youtube.com/watch?v=cBfFMHt5J74
S01E25;Moth;https://www.youtube.com/watch?v=TG4IM4xrt5s
S01E26;Egg;https://www.youtube.com/watch?v=e8KlnDByOhA
S02E01;Chick;https://www.youtube.com/watch?v=ASQ-ub60Yq0
S02E02;Bison;https://www.youtube.com/watch?v=6zdfN9dTfQc
S02E03;Cat;https://www.youtube.com/watch?v=KMcdn5E_Fbs
S02E04;Rabbit;https://www.youtube.com/watch?v=wEy98a4Enbc
S02E05;Hummingbird;https://www.youtube.com/watch?v=PTVPcmorSis
S02E06;Squirrel;https://www.youtube.com/watch?v=m1m47XuU5Rg
S02E07;Clam;https://www.youtube.com/watch?v=xQqWB5telwE
S02E08;Spider;https://www.youtube.com/watch?v=5S_TeR08FbQ
S02E09;Penguin;https://www.youtube.com/watch?v=q5mjSIaXAKQ
S02E10;Hedgehog;https://www.youtube.com/watch?v=hfPZW3MI9Zc
S02E11;Gecko;https://www.youtube.com/watch?v=W4F-7MZnNWw
S02E12;Seahorse;https://www.youtube.com/watch?v=p_zxN9t64Hg
S02E13;Tarsier;https://www.youtube.com/watch?v=TtViJLVdGYk
S02E14;Caterpillar;https://www.youtube.com/watch?v=DSlm7-aZrsg
S02E15;Flamingo;https://www.youtube.com/watch?v=oU6_3H-yidw
S02E16;Tiger;https://www.youtube.com/watch?v=884aU-dMN3E
S02E17;Butterfly;https://www.youtube.com/watch?v=LVxBM0zPsPA
S02E18;Starfish;https://www.youtube.com/watch?v=b0dBpdYxcSQ
S02E19;Fly;https://www.youtube.com/watch?v=SUHc4HAPmbk
S02E20;Anteater;https://www.youtube.com/watch?v=0uJI-lGF6mE
S02E21;Vulture;https://www.youtube.com/watch?v=vpyvxAHm1WU
S02E22;Snail;https://www.youtube.com/watch?v=gUGtd4iM4yM
S02E23;Crocodile;https://www.youtube.com/watch?v=vTv4ZeokmPo
S02E24;Fleas;https://www.youtube.com/watch?v=-3ZBzqBahGA
S02E25;Ladybird;https://www.youtube.com/watch?v=SzRcCEEbN4A
S02E26;Snake;https://www.youtube.com/watch?v=dIddD4zhN90
