Episode;Titel;Link
S01E01;Camping im Wald nimmt fürchterliches Ende;https://www.youtube.com/watch?v=gCfCegSpfLg&t=3s
S01E02;Meine beste Freundin ist verschwunden;https://www.youtube.com/watch?v=eYOE6zxKbNA
S01E03;LIVE - Wir sind nicht mehr sicher!;https://www.youtube.com/watch?v=G7pcf634-X0
S01E04;EINBRUCH - Wer ist hinter uns her?;https://www.youtube.com/watch?v=qI4K_Nw3_sA
S01E05;LIVE - Polizei findet Drogen in unserer Wohnung;https://www.youtube.com/watch?v=p6a-UfzTyJ4
S01E06;Wir müssen untertauchen;https://www.youtube.com/watch?v=rcEgHzLm_yY
S01E07;Warnung von Jess - Ist meine Mutter der Schlüssel?;https://www.youtube.com/watch?v=-ODsBToZUhc
S01E08;Schlimme Sprachnachricht - Ist das eine Falle?;https://www.youtube.com/watch?v=WPPmSuFACMU
S01E09;LIVE - Schock mitten in der Nacht - Einer fehlt!;https://www.youtube.com/watch?v=Ke3DlNXhq8M
S01E10;Letzte Chance - Kann ich meine beste Freundin retten?;https://www.youtube.com/watch?v=xe9yMtTL8Ck
S01E11;Kann ich mir das jemals verzeihen?;https://www.youtube.com/watch?v=EXfL4hKuSZI
S01E12;Monster-Angriff mitten im Nirgendwo;https://www.youtube.com/watch?v=A0QfKLm6Dzg
S01E13;Können wir der fremden Frau trauen?;https://www.youtube.com/watch?v=cAeqbhfBT2A
S01E14;Ohnmacht nach KRASSER ACTION im Wald;https://www.youtube.com/watch?v=5mKKZvm4BcE&t=4s
S01E15;Das ist WIRKLICH auf der geheimnisvollen Platte passiert;https://www.youtube.com/watch?v=OJLp7qu8dEM
S01E16;Freak im Wald - Können wir seinen Infos trauen?;https://www.youtube.com/watch?v=cxq7kAwmirw
S01E17;LIVE - Nerviger Streit - Ist unsere Freundschaft am Ende?;https://www.youtube.com/watch?v=Yffja4p3bQE
S01E18;Neues Ziel - Finden wir die Freundin meiner Mutter?;https://www.youtube.com/watch?v=p9YdhX6cSnY
S01E19;Medizinische Tests - Was hat meine Mutter gemacht?;https://www.youtube.com/watch?v=EFw4CUIPT_U
S01E20;LIVE - Ist etwas Schreckliches im Keller?;https://www.youtube.com/watch?v=1mLGqfvtXYQ
S01E21;Klarkommen und Gedanken ordnen - Hat mich mein Vater damals entführt?;https://www.youtube.com/watch?v=Ekm9UESdfEo
S01E22;Fluss blockiert den Weg - Wie kommen wir ans andere Ufer?;https://www.youtube.com/watch?v=qR-mefMRpUs
S01E23;Sie bleibt spurlos verschwunden...;https://www.youtube.com/watch?v=7m5D0sgV3-Y
S01E24;Kein Zurück - Nichts wird jemals wieder, wie es war;https://www.youtube.com/watch?v=WPWXvXpe7oc
S01E25;Stimmt die Theorie mit den fremden Wesen?;https://www.youtube.com/watch?v=kF0RZPDgE1Y
S01E26;LIVE - Flucht im Auto - Können wir das Monster abhängen?;https://www.youtube.com/watch?v=hc5jONw9TVQ
S01E27;Verletzt - Wir können nicht weiter;https://www.youtube.com/watch?v=2sfuuvV88vY
S01E28;LIVE - Peinlich - Aus Versehen beim Sex erwischt!;https://www.youtube.com/watch?v=SRoVnHgMEoU
S01E29;Böses Erwachen nach Liebesnacht;https://www.youtube.com/watch?v=-zwHN1WHCi4
S01E30;Geopfert für eine bessere Welt;https://www.youtube.com/watch?v=5UJez61oA-E
S01E31;Wir wurden verraten!;https://www.youtube.com/watch?v=jRTKu7ptMGI
S01E32;Die Bilder gehen nicht aus dem Kopf!;https://www.youtube.com/watch?v=cTedXluLz4Y
S01E33;Traumatische Begegnung im Hexenhäuschen;https://www.youtube.com/watch?v=VWVNGRliUG0
S01E34;LIVE - Wir müssen uns beeilen, bevor es zu spät ist.;https://www.youtube.com/watch?v=un45EjtufSY
S01E35;Hier wird die Welt untergehen.;https://www.youtube.com/watch?v=jhHZe6tToRQ
S01E36;Die Alpträume werden zur Realität;https://www.youtube.com/watch?v=GB5AjPYKBcg
S01E37;Schlechte Neuigkeiten;https://www.youtube.com/watch?v=3MirlJ7B6-o
S01E38;LIVE: Die Welt geht unter!;https://www.youtube.com/watch?v=f798aA3q7ZI
S01E39;Geheimnis um Mutter gelüftet.;https://www.youtube.com/watch?v=LpV2W5g1KIg
S01E40;Abschied nehmen;https://www.youtube.com/watch?v=je2VZu8SAjo
